contractAddress,tokenSymbol,from,to,value,valueFormatted,blockNumber,transactionHash,logIndex
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,UNKNOWN,0x590c17999BAf7748113B5A7316184Efe9b4751A6,0xb2D0B117d36CD9A74bAfDb3D01FF754B30A66e23,310000000000000000,0.31,23403009,0xd903848b4eb6afe642ffdfcf8eba9a758530dda80488757fec899c586a6c3403,2
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,UNKNOWN,0xb2D0B117d36CD9A74bAfDb3D01FF754B30A66e23,0x0000a26b00c1F0DF003000390027140000fAa719,1550000000000000,0.00155,23403009,0xd903848b4eb6afe642ffdfcf8eba9a758530dda80488757fec899c586a6c3403,4
0xdAC17F958D2ee523a2206206994597C13D831ec7,UNKNOWN,0xe0e0e08A6A4b9Dc7bD67BCB7aadE5cF48157d444,0x000010036C0190E009a000d0fc3541100A07380A,447744910,0.00000000044774491,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,8
0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,UNKNOWN,0xC275a7390966E4bcbf331B837cD7316C4A3EFa83,0x6A000F20005980200259B80c5102003040001068,447918770689715408955,447.918770689715408955,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,9
0xdAC17F958D2ee523a2206206994597C13D831ec7,UNKNOWN,0x000010036C0190E009a000d0fc3541100A07380A,0xC275a7390966E4bcbf331B837cD7316C4A3EFa83,447744910,0.00000000044774491,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,10
0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,UNKNOWN,0x6A000F20005980200259B80c5102003040001068,0x888888888889758F76e7103c6CbF23ABbF58F946,447918770689715408955,447.918770689715408955,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,12
0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,UNKNOWN,0x888888888889758F76e7103c6CbF23ABbF58F946,0xa780d7F775B4eFf6846A8c28981f086bC6a7d637,447918770689715408955,447.918770689715408955,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,14
0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,UNKNOWN,0xa780d7F775B4eFf6846A8c28981f086bC6a7d637,0xc8CF6D7991f15525488b2A83Df53468D682Ba4B0,447918770689715408955,447.918770689715408955,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,15
0xc8CF6D7991f15525488b2A83Df53468D682Ba4B0,UNKNOWN,0x0000000000000000000000000000000000000000,0xa780d7F775B4eFf6846A8c28981f086bC6a7d637,419759743204531173387,419.759743204531173387,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,16
0xa780d7F775B4eFf6846A8c28981f086bC6a7d637,UNKNOWN,0x0000000000000000000000000000000000000000,0x888888888889758F76e7103c6CbF23ABbF58F946,419759743204531173387,419.759743204531173387,23403009,0xe45123d8b4e4a977e37daa0ec65140dc0afb178e252d0dcc4c400bd01125b696,18
